# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
         0   -2.2288138890e+00    2.3202516063e-02    2.0490000000e+03    2.0480000000e+03    0.0000000000e+00   -2.2212848902e+00    9.9489386023e-01    1.0000000000e+00
         1   -2.2255192854e+00    2.3601424302e-02    2.0471056094e+03    2.0480000000e+03    0.0000000000e+00   -2.2532219929e+00    9.9619677004e-01    9.9804687500e-01
         2   -2.2266153799e+00    2.1341550262e-02    2.0480081504e+03    2.0460000000e+03    2.5000000000e-01   -2.1766673030e+00    9.9552392510e-01    9.9951124145e-01
         3   -2.2260075426e+00    2.3190707713e-02    2.0479853345e+03    2.0480000000e+03    5.0000000000e-01   -2.2266153799e+00    9.9590977385e-01    9.9902343750e-01
         4   -2.2269142184e+00    2.6263567385e-02    2.0480538489e+03    2.0520000000e+03    5.0000000000e-01   -2.3235685492e+00    9.9400545275e-01    9.9805068226e-01
         5   -2.2283157079e+00    2.7052395835e-02    2.0480246343e+03    2.0480000000e+03    2.5000000000e-01   -2.2269142184e+00    9.9475834383e-01    9.9853515625e-01
         6   -2.2300676213e+00    2.1751989450e-02    2.0480356088e+03    2.0460000000e+03    2.5000000000e-01   -2.1794637255e+00    9.9506825468e-01    1.0000000000e+00
         7   -2.2287438884e+00    2.1808723553e-02    2.0479741337e+03    2.0490000000e+03    2.5000000000e-01   -2.2544757253e+00    9.9480520312e-01    9.9853587116e-01
         8   -2.2305745529e+00    2.5314150396e-02    2.0480246216e+03    2.0460000000e+03    5.0000000000e-01   -2.1798919060e+00    9.9672781305e-01    9.9951124145e-01
         9   -2.2304878947e+00    2.2374078895e-02    2.0479931949e+03    2.0480000000e+03    2.5000000000e-01   -2.2305745529e+00    9.9581601808e-01    9.9951171875e-01
        10   -2.2297089511e+00    2.1194211917e-02    2.0479765422e+03    2.0480000000e+03    2.5000000000e-01   -2.2304878947e+00    9.9652679617e-01    9.9902343750e-01
        11   -2.2325392968e+00    2.1345271647e-02    2.0480578268e+03    2.0470000000e+03    2.5000000000e-01   -2.2052889262e+00    9.9454985162e-01    9.9951148021e-01
        12   -2.2351607275e+00    2.0528407778e-02    2.0480578010e+03    2.0490000000e+03    2.5000000000e-01   -2.2569474008e+00    9.9742831667e-01    9.9902391410e-01
        13   -2.2369061902e+00    2.3908274184e-02    2.0480356812e+03    2.0480000000e+03    2.5000000000e-01   -2.2351607275e+00    9.9654995337e-01    9.9951171875e-01
        14   -2.2362471182e+00    2.2127903425e-02    2.0479881482e+03    2.0490000000e+03    2.5000000000e-01   -2.2613142942e+00    9.9606727134e-01    9.9755978526e-01
        15   -2.2379586549e+00    2.4244344581e-02    2.0480430980e+03    2.0470000000e+03    2.5000000000e-01   -2.2118270933e+00    9.9361491671e-01    9.9902296043e-01
        16   -2.2406980402e+00    2.2892267032e-02    2.0480580076e+03    2.0490000000e+03    5.0000000000e-01   -2.2623667589e+00    9.9564773927e-01    9.9755978526e-01
        17   -2.2394602146e+00    1.9287367095e-02    2.0479580958e+03    2.0450000000e+03    2.5000000000e-01   -2.1674021561e+00    9.9585189979e-01    9.9951100244e-01
        18   -2.2385201125e+00    1.7230261273e-02    2.0479667801e+03    2.0460000000e+03    5.0000000000e-01   -2.1906082322e+00    9.9558405360e-01    9.9951124145e-01
        19   -2.2388745795e+00    1.8262873581e-02    2.0480050218e+03    2.0480000000e+03    5.0000000000e-01   -2.2385201125e+00    9.9379765096e-01    9.9951171875e-01
        20   -2.2364372773e+00    1.7198186351e-02    2.0479650492e+03    2.0510000000e+03    5.0000000000e-01   -2.3120631752e+00    9.9605222339e-01    9.9951243296e-01
        21   -2.2356246151e+00    1.5981679721e-02    2.0479872091e+03    2.0500000000e+03    0.0000000000e+00   -2.2852415760e+00    9.9579591112e-01    9.9951219512e-01
        22   -2.2337806909e+00    1.7672079712e-02    2.0479633183e+03    2.0490000000e+03    0.0000000000e+00   -2.2600327191e+00    9.9548684057e-01    9.9902391410e-01
        23   -2.2324146016e+00    1.6480566842e-02    2.0479933490e+03    2.0480000000e+03    2.5000000000e-01   -2.2337806909e+00    9.9752320378e-01    9.9902343750e-01
        24   -2.2376392453e+00    1.8480773804e-02    2.0481005024e+03    2.0470000000e+03    2.5000000000e-01   -2.2079945767e+00    9.9337325367e-01    9.9853444064e-01
        25   -2.2385905597e+00    1.5598401223e-02    2.0480137108e+03    2.0450000000e+03    2.5000000000e-01   -2.1643433612e+00    9.9502644811e-01    1.0000000000e+00
        26   -2.2370719379e+00    1.7229854374e-02    2.0479670807e+03    2.0480000000e+03    2.5000000000e-01   -2.2385905597e+00    9.9333230026e-01    9.9902343750e-01
        27   -2.2358285953e+00    1.6377257609e-02    2.0479775731e+03    2.0480000000e+03    2.5000000000e-01   -2.2370719379e+00    9.9623468811e-01    9.9902343750e-01
        28   -2.2373093443e+00    1.4549319230e-02    2.0480206897e+03    2.0460000000e+03    2.5000000000e-01   -2.1869766129e+00    9.9228770223e-01    1.0000000000e+00
        29   -2.2372884837e+00    1.7081645526e-02    2.0479906253e+03    2.0470000000e+03    2.5000000000e-01   -2.2128893194e+00    9.9542128412e-01    9.9853444064e-01
        30   -2.2366481839e+00    1.9328015087e-02    2.0479739686e+03    2.0450000000e+03    2.5000000000e-01   -2.1639925995e+00    9.9586517884e-01    9.9951100244e-01
        31   -2.2395486030e+00    2.0975457550e-02    2.0480623821e+03    2.0480000000e+03    0.0000000000e+00   -2.2366481839e+00    9.9380902330e-01    9.9902343750e-01
        32   -2.2408078063e+00    1.6072550269e-02    2.0480182642e+03    2.0470000000e+03    0.0000000000e+00   -2.2151285781e+00    9.9702221069e-01    9.9951148021e-01
        33   -2.2406762747e+00    1.6787311506e-02    2.0479955226e+03    2.0480000000e+03    2.5000000000e-01   -2.2408078063e+00    9.9475879925e-01    9.9951171875e-01
        34   -2.2389852580e+00    2.2016363898e-02    2.0479643088e+03    2.0480000000e+03    2.5000000000e-01   -2.2406762747e+00    9.9563196157e-01    9.9853515625e-01
        35   -2.2367908600e+00    1.9642054794e-02    2.0479456603e+03    2.0460000000e+03    0.0000000000e+00   -2.1901332756e+00    9.9532411929e-01    1.0000000000e+00
        36   -2.2354357345e+00    1.6063651962e-02    2.0479756472e+03    2.0490000000e+03    0.0000000000e+00   -2.2611989640e+00    9.9634960214e-01    9.9853587116e-01
        37   -2.2385187022e+00    1.5916625229e-02    2.0480594279e+03    2.0460000000e+03    2.5000000000e-01   -2.1865837521e+00    9.9705508598e-01    9.9902248289e-01
        38   -2.2394690150e+00    1.6069256069e-02    2.0480356312e+03    2.0500000000e+03    7.5000000000e-01   -2.2873230008e+00    9.9614724174e-01    9.9902439024e-01
        39   -2.2387271561e+00    1.6780704569e-02    2.0479994008e+03    2.0510000000e+03    2.5000000000e-01   -2.3126576106e+00    9.9674712135e-01    9.9756216480e-01
        40   -2.2385714370e+00    1.6098338168e-02    2.0479832034e+03    2.0460000000e+03    2.5000000000e-01   -2.1898751737e+00    9.9484325706e-01    9.9951124145e-01
        41   -2.2385308001e+00    2.0208350584e-02    2.0480009685e+03    2.0480000000e+03    2.5000000000e-01   -2.2385714370e+00    9.9510915253e-01    9.9951171875e-01
        42   -2.2349953264e+00    1.6879616469e-02    2.0479371926e+03    2.0480000000e+03    2.5000000000e-01   -2.2385308001e+00    9.9380335871e-01    9.9951171875e-01
